,acc,loss,val_acc,val_loss
0,0.846796657292215,0.47249780567524546,0.8586118251928021,0.4141851081620605
1,0.8671523461715808,0.35965120649347987,0.8586118251928021,0.3798463702131615
2,0.8793657595886009,0.31155383446396917,0.8826049700596441,0.3030185343086362
3,0.8913649024175632,0.2764091565231197,0.9100257069919492,0.23246585981858114
4,0.9037925861927537,0.24583916401541256,0.9151670951667563,0.2514195955249113
5,0.9061495607839756,0.2373600690081821,0.9288774636329089,0.22543065149046565
6,0.9112920506061312,0.224172770434231,0.9254498715163707,0.2040250761547759
7,0.9157917290728022,0.22582573226695146,0.919451585312429,0.21343241126341195
8,0.917077351528341,0.22089647539223392,0.9245929734872362,0.1992119857538635
9,0.9205056782935604,0.20501905244673144,0.9160239932469659,0.21698459737711517
